GEOID,Drive15_EVSE
36081011300,259
36081011400,66
36081011500,371
36081011600,56
36081011700,392
36081011800,93
36081011900,294
36081012000,120
36081012100,340
36081012200,101
36081012301,295
36081012400,105
36081012500,422
36081012601,71
36081012602,57
36081012800,113
36081013000,114
36081013200,116
36081013400,132
36081013500,304
36081013600,135
36081013700,364
36081013800,131
36081014000,131
36081014100,358
36081014201,133
36081014202,133
36081014300,333
36081014400,100
36081014500,280
36081014700,211
36081014800,126
36081014900,247
36081015000,128
36081015100,198
36081015200,116
36081015300,266
36081015400,98
36081015500,219
36081015600,89
36081015700,253
36081015801,128
36081015802,91
36081015900,203
36081016100,196
36081016300,203
36081016400,89
36081016600,102
36081016800,85
36081016900,174
36081017000,126
36081017101,175
36081017102,194
36081017200,119
36081017400,117
36081017600,114
36081017800,109
36081017901,287
36081017902,324
36081018000,114
36081018101,166
36081018102,173
36081018200,97
36081018300,188
36081018401,106
36081018402,69
36081018501,414
36081018502,312
36081018600,117
36081018700,394
36081018800,113
36081018900,304
36081019000,81
36081019200,122
36081019400,133
36081019600,89
36081019800,100
36081019901,353
36081019902,358
36081019903,397
36081020200,118
36081020400,120
36081020500,245
36081020600,141
36081020800,124
36081021200,131
36081021400,137
36081021601,134
36081021602,110
36081021603,113
36081021900,238
36081022001,134
36081022002,122
36081022900,168
36081023000,127
36081023200,95
36081023501,226
36081023502,244
36081023600,132
36081023800,112
36081024000,90
36081024300,328
36081024500,265
36081024600,58
36081024700,342
36081024900,225
36081025100,238
36081025301,243
36081025302,177
36081025401,85
36081025402,78
36081025500,221
36081025700,263
36081025800,59
36081025900,297
36081026000,105
36081026100,216
36081026200,85
36081026300,250
36081026400,64
36081026501,243
36081026502,204
36081026600,59
36081026700,159
36081026901,96
36081026902,223
36081027000,105
36081027101,114
36081027102,48
36081027200,85
36081027301,46
36081027302,100
36081027400,68
36081027500,137
36081027600,76
36081027701,72
36081027702,118
36081027800,57
36081027900,107
36081028000,50
36081028100,178
36081028200,44
36081028300,182
36081028400,10
36081028500,188
36081028700,198
